,Norway,NaN,1,92.73,NaN,96.85,NaN,93.39,NaN,87.95
149,Mali,NaN,150,48.29,NaN,51.99,NaN,51.69,NaN,41.19
150,Angola,NaN,151,48.16,NaN,52.60,NaN,52.20,NaN,39.69
151,Guinea-Bissau,NaN,152,46.69,NaN,46.79,NaN,47.50,NaN,45.79
152,Papua New Guinea,NaN,153,44.91,NaN,43.16,NaN,44.34,NaN,47.23
153,Guinea,NaN,154,43.41,NaN,44.61,NaN,52.88,NaN,32.76
154,Afghanistan,NaN,155,42.29,NaN,52.90,NaN,39.50,NaN,34.47
155,Congo Democratic Republic of,NaN,156,42.25,NaN,41.30,NaN,52.21,NaN,33.23
156,Niger,NaN,157,42.21,NaN,42.20,NaN,42.81,NaN,41.63
157,Burundi,NaN,158,41.20,NaN,40.33,NaN,50.08,NaN,33.21
158,Somalia,NaN,159,35.58,NaN,36.87,NaN,43.98,NaN,25.90
159,Eritrea,NaN,160,35.20,NaN,43.03,NaN,38.42,NaN,24.16
160,Central African Republic,NaN,161,31.62,NaN,21.31,NaN,38.68,NaN,34.85
161,Chad,NaN,162,31.29,NaN,30.87,NaN,37.89,NaN,25.10
162,South Sudan,NaN,163,31.06,NaN,35.74,NaN,36.69,NaN,20.73
