,Overall Rank,Change in rank,Country,Score,Change in score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Trust,Residual
25,32, 1,Thailand,6.424, 0.050,1.128,1.426,0.647,0.580,0.572,0.032,2.040
26,33, 2,Taiwan,6.422, 0.043,1.434,1.385,0.794,0.361,0.258,0.064,2.127
27,34, 3,Spain,6.403, 0.042,1.384,1.532,0.889,0.409,0.190,0.071,1.928
28,36, 5,Colombia,6.357, 0.124,1.071,1.402,0.595,0.477,0.149,0.047,2.616
29,37, 3,Saudi Arabia,6.344, 0.035,1.531,1.287,0.590,0.450,0.148,0.273,2.065
30,39, 2,Kuwait,6.105, 0.134,1.633,1.260,0.632,0.496,0.228,0.215,1.640
31,40, 5,Slovakia,6.098, 0.020,1.325,1.505,0.713,0.296,0.137,0.024,2.098
32,41, 1,Bahrain,6.087, 0.131,1.488,1.323,0.653,0.537,0.173,0.257,1.656
33,42, 5,Malaysia,6.084, 0.079,1.291,1.285,0.619,0.402,0.417,0.066,2.004
34,—,—,Europe,6.080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
35,43, 5,Nicaragua,6.071, 0.079,0.737,1.287,0.653,0.448,0.302,0.131,2.514
36,44, 7,Ecuador,6.008, 0.032,1.001,1.286,0.686,0.455,0.150,0.140,2.290
37,45, 1,El Salvador,6.003, 0.065,0.910,1.182,0.596,0.432,0.078,0.090,2.715
38,46, 11,Poland,5.973, 0.138,1.292,1.446,0.699,0.520,0.158,0.059,1.798
39,47, 2,Uzbekistan,5.971, 0.016,0.786,1.549,0.498,0.658,0.416,0.247,1.817
40,48, 2,Italy,5.964, 0.013,1.395,1.445,0.853,0.256,0.173,0.028,1.813
41,49, 7,Russia,5.963, 0.107,1.282,1.469,0.547,0.374,0.052,0.033,2.206
